time,tmp,pre,runoff
1940-05-16,11.7152405,97.77086,10300.0
1940-06-16,15.422194,88.42969,12300.0
1940-07-16,17.352406,145.91017,21100.0
1940-08-16,16.00829,159.87462,30400.0
1940-09-16,13.437166,107.39492,33200.0
1940-10-16,9.629679,58.195457,20600.0
1940-11-16,2.8697863,22.61631,9430.0
1940-12-16,0.51711255,7.890108,5690.0
1941-01-16,-1.110428,3.0401073,3950.0
1941-02-15,0.6508024,11.700001,3250.0
1941-03-16,4.758021,26.405083,4010.0
1941-04-16,9.036364,44.435833,4760.0
1941-05-16,12.336365,74.5853,9870.0
1941-06-16,15.389037,127.64224,12800.0
1941-07-16,17.79278,172.93262,22200.0
1941-08-16,16.94385,157.25374,33800.0
1941-09-16,13.216846,115.10989,32500.0
1941-10-16,9.450536,55.596794,14900.0
1941-11-16,2.7989302,24.039572,9690.0
1941-12-16,0.23368974,15.371657,6170.0
1942-01-16,-1.0911762,3.9631014,5020.0
1942-02-15,-0.1032087,7.3697863,3480.0
1942-03-16,5.46738,27.992245,4280.0
1942-04-16,8.633958,48.978073,6350.0
1942-05-16,12.174332,88.18824,9330.0
1942-06-16,15.3048115,121.318985,16200.0
1942-07-16,17.685026,137.41792,18800.0
1942-08-16,16.721123,105.350006,20700.0
1942-09-16,13.754012,86.835556,15600.0
1942-10-16,9.723797,51.577007,13600.0
1942-11-16,4.2508025,20.544117,8330.0
1942-12-16,-1.2240641,7.2221923,5080.0
1943-01-16,-2.5655081,8.055614,3650.0
1943-02-15,-0.3724599,10.141443,3530.0
1943-03-16,4.240909,25.041178,4860.0
1943-04-16,7.8540106,40.723526,6510.0
1943-05-16,12.778878,62.80535,12600.0
1943-06-16,14.976205,135.83102,13800.0
1943-07-16,17.267916,109.51123,26900.0
1943-08-16,16.787434,157.08797,21400.0
1943-09-16,13.7390375,121.12781,23200.0
1943-10-16,8.841444,58.89813,20000.0
1943-11-16,3.4609623,12.766044,9410.0
1943-12-16,-0.25775433,5.3016047,5040.0
1944-01-16,-2.037701,13.07246,4220.0
1944-02-15,-0.8243315,10.0112295,4740.0
1944-03-16,4.7379684,19.866846,3910.0
1944-04-16,8.103744,42.38476,5570.0
1944-05-16,11.771123,74.410164,9180.0
1944-06-16,14.867379,149.49387,17100.0
1944-07-16,17.529411,165.91096,27300.0
1944-08-16,16.694117,114.86818,16400.0
1944-09-16,13.714439,148.38475,28500.0
1944-10-16,8.532887,92.94011,23600.0
1944-11-16,3.221123,16.73289,12600.0
1944-12-16,-3.0211232,6.510962,5760.0
1945-01-16,-2.600535,6.2548122,4200.0
1945-02-15,-3.0508025,13.778876,3850.0
1945-03-16,4.02861,18.00722,4080.0
1945-04-16,9.801872,44.863102,5410.0
1945-05-16,12.576203,59.443855,7830.0
1945-06-16,16.48583,117.22914,17200.0
1945-07-16,17.544653,180.24089,28200.0
1945-08-16,16.93663,183.81229,38200.0
1945-09-16,14.873797,99.87407,34900.0
1945-10-16,8.698931,42.127007,16700.0
1945-11-16,4.882353,27.54866,10400.0
1945-12-16,-1.0561498,10.72754,6640.0
1946-01-16,-0.3965242,5.3026743,4160.0
1946-02-15,2.2318177,9.231016,3610.0
1946-03-16,3.6323528,21.317648,3530.0
1946-04-16,10.099464,42.53155,4150.0
1946-05-16,12.564171,86.91791,10900.0
1946-06-16,15.593316,151.94814,20400.0
1946-07-16,17.273531,175.25829,34400.0
1946-08-16,17.593582,115.9091,22000.0
1946-09-16,14.496523,109.76551,26700.0
1946-10-16,9.246792,68.10214,17000.0
1946-11-16,4.0066843,30.951605,12400.0
1946-12-16,-0.74625677,4.796524,6020.0
1947-01-16,-1.1868986,6.068984,4100.0
1947-02-15,-0.45962572,9.28262,3680.0
1947-03-16,4.5721927,31.346523,4130.0
1947-04-16,8.355615,53.84198,7440.0
1947-05-16,13.354278,91.23636,12700.0
1947-06-16,14.979948,139.01418,21600.0
1947-07-16,17.58155,200.74065,34300.0
1947-08-16,16.744385,142.55588,37300.0
1947-09-16,14.166041,129.90427,28400.0
1947-10-16,7.7713904,60.477005,18600.0
1947-11-16,3.8398395,15.312567,10200.0
1947-12-16,-0.9085559,8.632621,5830.0
1948-01-16,-1.8847593,8.027005,4270.0
1948-02-15,0.03609634,17.52246,4240.0
1948-03-16,4.22246,32.99599,5460.0
1948-04-16,9.333156,63.82326,8310.0
1948-05-16,11.051336,95.67219,16400.0
1948-06-16,15.192247,149.40482,23400.0
1948-07-16,16.91524,215.00589,39200.0
1948-08-16,16.845722,136.4131,34600.0
1948-09-16,14.417381,123.27595,27300.0
1948-10-16,8.371123,58.379944,21700.0
1948-11-16,2.0639036,19.14091,10400.0
1948-12-16,-0.039572243,8.649465,6720.0
1949-01-16,-2.135829,4.695989,4760.0
1949-02-15,0.6697861,16.174599,4300.0
1949-03-16,3.8403745,22.809092,4670.0
1949-04-16,7.4895725,58.655613,6500.0
1949-05-16,12.527539,90.85429,12900.0
1949-06-16,14.875937,146.5115,25300.0
1949-07-16,16.89171,180.18423,43100.0
1949-08-16,16.080482,140.1976,32600.0
1949-09-16,13.84492,133.56738,34500.0
1949-10-16,9.045455,78.36525,22200.0
1949-11-16,2.7459893,18.762566,11800.0
1949-12-16,-1.7748662,7.9850264,6450.0
1950-01-16,-0.8013368,6.697593,4570.0
1950-02-15,-1.6197863,10.553743,4000.0
1950-03-16,4.266845,16.674332,4200.0
1950-04-16,7.864706,50.513107,6110.0
1950-05-16,12.406953,88.84973,12100.0
1950-06-16,14.016845,130.4412,21800.0
1950-07-16,17.040377,167.96579,34100.0
1950-08-16,15.969252,136.89038,23200.0
1950-09-16,12.640642,127.87407,28000.0
1950-10-16,8.372727,61.3976,20300.0
1950-11-16,2.5034761,13.616845,10600.0
1950-12-16,-2.5032086,7.318182,5740.0
1951-01-16,-2.7617648,5.7877007,3800.0
1951-02-15,-0.554278,9.8294115,3380.0
1951-03-16,2.6644385,20.959091,3590.0
1951-04-16,6.429412,48.120594,5830.0
1951-05-16,12.309627,74.54626,11900.0
1951-06-16,14.98877,129.85562,13200.0
1951-07-16,16.244919,183.40134,32600.0
1951-08-16,16.965508,132.32219,29000.0
1951-09-16,12.804009,112.17674,30300.0
1951-10-16,9.311498,72.51631,18600.0
1951-11-16,2.8569522,28.73984,9510.0
1951-12-16,-0.5516043,7.1088233,5650.0
1952-01-16,-1.8489305,7.2628336,3690.0
1952-02-15,-0.25614992,9.3978615,3280.0
